name_in_vcf	id	sampling_location	region	latitude	longitude	collection_season	species	order_in_vcf	order_in_admixture	correct_label	correct_label_2
i_Ste_1	12S4Rsv38_Canada_Atlantic_Spring	NA	Northwest_Atlantic_Ocean	48	-65.85	Spring	C.harengus	124	73	Canada_Spring	Canada_Spring_Summer
i_Ste_2	12S4Rsv41_Canada_Atlantic_Spring	NA	Northwest_Atlantic_Ocean	48	-65.85	Spring	C.harengus	125	74	Canada_Spring	Canada_Spring_Summer
i_7iA_1	12S4S7i22_Canada_Atlantic_Summer	NA	Northwest_Atlantic_Ocean	46.316667	-64.15	Summer	C.harengus	92	55	Canada_Summer	Canada_Spring_Summer
i_7iA_2	12S4S7i28_Canada_Atlantic_Summer	NA	Northwest_Atlantic_Ocean	46.316667	-64.15	Summer	C.harengus	93	56	Canada_Summer	Canada_Spring_Summer
i_Bla_1	144Sbs344_Canada_Atlantic_Autumn	NA	Northwest_Atlantic_Ocean	43.266667	-66.3	Autumn	C.harengus	96	33	Canada_Autumn	Canada_Autumn
i_Bla_2	144Sbs349_Canada_Atlantic_Autumn	NA	Northwest_Atlantic_Ocean	43.266667	-66.3	Autumn	C.harengus	97	34	Canada_Autumn	Canada_Autumn
i_Mir_1	14F4TL404_Canada_Atlantic_Autumn	NA	Northwest_Atlantic_Ocean	43.266667	-66.3	Autumn	C.harengus	106	41	Canada_Autumn	Canada_Autumn
i_Mir_2	14F4TL415_Canada_Atlantic_Autumn	NA	Northwest_Atlantic_Ocean	43.266667	-66.3	Autumn	C.harengus	107	42	Canada_Autumn	Canada_Autumn
i_Mus_1	14F4WK306_Canada_Atlantic_Autumn	NA	Northwest_Atlantic_Ocean	43.266667	-66.3	Autumn	C.harengus	108	43	Canada_Autumn	Canada_Autumn
i_Mus_2	14F4WK316_Canada_Atlantic_Autumn	NA	Northwest_Atlantic_Ocean	43.266667	-66.3	Autumn	C.harengus	109	44	Canada_Autumn	Canada_Autumn
i_FB_3	14S3Ps233_Canada_Atlantic_Spring	NA	Northwest_Atlantic_Ocean	48	-65.85	Spring	C.harengus	98	63	Canada_Spring	Canada_Spring_Summer
i_FB_4	14S3Ps265_Canada_Atlantic_Spring	NA	Northwest_Atlantic_Ocean	48	-65.85	Spring	C.harengus	99	64	Canada_Spring	Canada_Spring_Summer
i_Lab_1	15F2J602_Canada_Atlantic_Autumn	NA	Northwest_Atlantic_Ocean	43.266667	-66.3	Autumn	C.harengus	100	35	Canada_Autumn	Canada_Autumn
i_Lab_3	15F2J603_Canada_Atlantic_Autumn	NA	Northwest_Atlantic_Ocean	43.266667	-66.3	Autumn	C.harengus	102	37	Canada_Autumn	Canada_Autumn
i_Lab_2	15F2J606_Canada_Atlantic_Autumn	NA	Northwest_Atlantic_Ocean	43.266667	-66.3	Autumn	C.harengus	101	36	Canada_Autumn	Canada_Autumn
i_Lab_4	15F2J616_Canada_Atlantic_Autumn	NA	Northwest_Atlantic_Ocean	43.266667	-66.3	Autumn	C.harengus	103	38	Canada_Autumn	Canada_Autumn
i_NDBf_3	15F3K601_Canada_Atlantic_Autumn	NA	Northwest_Atlantic_Ocean	43.266667	-66.3	Autumn	C.harengus	112	47	Canada_Autumn	Canada_Autumn
i_NDBf_4	15F3K602_Canada_Atlantic_Autumn	NA	Northwest_Atlantic_Ocean	43.266667	-66.3	Autumn	C.harengus	113	48	Canada_Autumn	Canada_Autumn
i_NDBf_1	15F3K609_Canada_Atlantic_Autumn	NA	Northwest_Atlantic_Ocean	43.266667	-66.3	Autumn	C.harengus	110	45	Canada_Autumn	Canada_Autumn
i_NDBf_2	15F3K621_Canada_Atlantic_Autumn	NA	Northwest_Atlantic_Ocean	43.266667	-66.3	Autumn	C.harengus	111	46	Canada_Autumn	Canada_Autumn
i_ScB_1	15F4XRsb625_Canada_Atlantic_Autumn	NA	Northwest_Atlantic_Ocean	43.266667	-66.3	Autumn	C.harengus	122	49	Canada_Autumn	Canada_Autumn
i_ScB_2	15F4XRsb626_Canada_Atlantic_Autumn	NA	Northwest_Atlantic_Ocean	43.266667	-66.3	Autumn	C.harengus	123	50	Canada_Autumn	Canada_Autumn
i_M514_1	15F5Y514-617_Canada_Atlantic_Autumn	NA	Northwest_Atlantic_Ocean	43.266667	-66.3	Autumn	C.harengus	104	39	Canada_Autumn	Canada_Autumn
i_M514_2	15F5Y514-620_Canada_Atlantic_Autumn	NA	Northwest_Atlantic_Ocean	43.266667	-66.3	Autumn	C.harengus	105	40	Canada_Autumn	Canada_Autumn
i_NDBs_1	15S3K404_Canada_Atlantic_Spring	NA	Northwest_Atlantic_Ocean	48	-65.85	Spring	C.harengus	114	65	Canada_Spring	Canada_Spring_Summer
i_NDBs_3	15S3K410_Canada_Atlantic_Spring	NA	Northwest_Atlantic_Ocean	48	-65.85	Spring	C.harengus	116	67	Canada_Spring	Canada_Spring_Summer
i_NDBs_4	15S3K430_Canada_Atlantic_Spring	NA	Northwest_Atlantic_Ocean	48	-65.85	Spring	C.harengus	117	68	Canada_Spring	Canada_Spring_Summer
i_NDBs_2	15S3K449_Canada_Atlantic_Spring	NA	Northwest_Atlantic_Ocean	48	-65.85	Spring	C.harengus	115	66	Canada_Spring	Canada_Spring_Summer
i_Pla_1	16S4Pla78_Canada_Atlantic_Spring	NA	Northwest_Atlantic_Ocean	48	-65.85	Spring	C.harengus	118	69	Canada_Spring	Canada_Spring_Summer
i_Pla_2	16S4Pla79_Canada_Atlantic_Spring	NA	Northwest_Atlantic_Ocean	48	-65.85	Spring	C.harengus	119	70	Canada_Spring	Canada_Spring_Summer
i_Pla_3	16S6Pla71_Canada_Atlantic_Spring	NA	Northwest_Atlantic_Ocean	48	-65.85	Spring	C.harengus	120	71	Canada_Spring	Canada_Spring_Summer
i_Pla_4	16S6Pla72_Canada_Atlantic_Spring	NA	Northwest_Atlantic_Ocean	48	-65.85	Spring	C.harengus	121	72	Canada_Spring	Canada_Spring_Summer
i_BDOL_1	16SBDO106_Canada_Atlantic_Spring	NA	Northwest_Atlantic_Ocean	48	-65.85	Spring	C.harengus	94	61	Canada_Spring	Canada_Spring_Summer
i_BDOL_2	16SBDO107_Canada_Atlantic_Spring	NA	Northwest_Atlantic_Ocean	48	-65.85	Spring	C.harengus	95	62	Canada_Spring	Canada_Spring_Summer
AAL1_CelticSea_Atlantic_Winter	AAL1_CelticSea_Atlantic_Winter	Celtic_Sea	Northeast_Atlantic_Ocean	51.330612	-8.909912	Winter	C.harengus	1	86	Ireland_Britain	Ireland_Britain
AAL2_CelticSea_Atlantic_Winter	AAL2_CelticSea_Atlantic_Winter	Celtic_Sea	Northeast_Atlantic_Ocean	51.330612	-8.909912	Winter	C.harengus	2	87	Ireland_Britain	Ireland_Britain
AAL3_Celticsea_Atlantic_Winter	AAL3_Celticsea_Atlantic_Winter	Celtic_sea	Northeast_Atlantic_Ocean	51.330612	-8.909912	Winter	C.harengus	3	88	Ireland_Britain	Ireland_Britain
AF29_Norway_Atlantic_Spring	AF29_Norway_Atlantic_Spring	Norway	Northeast_Atlantic_Ocean	61.185625	4.658203	Spring	C.harengus	4	98	Norway_stationary	Norway_stationary
AF30_Norway_Atlantic_Spring	AF30_Norway_Atlantic_Spring	Norway	Northeast_Atlantic_Ocean	61.185625	4.658203	Spring	C.harengus	5	99	Norway_stationary	Norway_stationary
AF31_Norway_Atlantic_Spring	AF31_Norway_Atlantic_Spring	Norway	Northeast_Atlantic_Ocean	61.185625	4.658203	Spring	C.harengus	6	100	Norway_stationary	Norway_stationary
AF8_Norway_Atlantic_Spring	AF8_Norway_Atlantic_Spring	Norway	Northeast_Atlantic_Ocean	61.185625	4.658203	Spring	C.harengus	7	101	Norway_stationary	Norway_stationary
AK1_Downs_Atlantic_Winter	AK1_Downs_Atlantic_Winter	Downs	Northeast_Atlantic_Ocean	50.134664	-0.357056	Winter	C.harengus	8	77	Ireland_Britain	Ireland_Britain
AK2_Downs_Atlantic_Winter	AK2_Downs_Atlantic_Winter	Downs	Northeast_Atlantic_Ocean	50.134664	-0.357056	Winter	C.harengus	9	78	Ireland_Britain	Ireland_Britain
AK3_Downs_Atlantic_Winter	AK3_Downs_Atlantic_Winter	Downs	Northeast_Atlantic_Ocean	50.134664	-0.357056	Winter	C.harengus	10	79	Ireland_Britain	Ireland_Britain
AM27_Norway_Atlantic_Spring	AM27_Norway_Atlantic_Spring	Norway	Northeast_Atlantic_Ocean	64.866667	10.25	Spring	C.harengus	11	102	Norway_stationary	Norway_stationary
AM29_Norway_Atlantic_Spring	AM29_Norway_Atlantic_Spring	Norway	Northeast_Atlantic_Ocean	64.866667	10.25	Spring	C.harengus	12	103	Norway_stationary	Norway_stationary
AM33_Norway_Atlantic_Spring	AM33_Norway_Atlantic_Spring	Norway	Northeast_Atlantic_Ocean	64.866667	10.25	Spring	C.harengus	13	104	Norway_stationary	Norway_stationary
AM8_Norway_Atlantic_Spring	AM8_Norway_Atlantic_Spring	Norway	Northeast_Atlantic_Ocean	64.866667	10.25	Spring	C.harengus	14	105	Norway_stationary	Norway_stationary
BF16_HastKar_Baltic_Spring	BF16_HastKar_Baltic_Spring	Hästskär	Baltic_Sea	60.532414	17.739702	Spring	C.harengus	15	109	Baltic_Spring	Baltic_Spring
BF18_HastKar_Baltic_Spring	BF18_HastKar_Baltic_Spring	Hästskär	Baltic_Sea	60.532414	17.739702	Spring	C.harengus	16	110	Baltic_Spring	Baltic_Spring
