name_in_vcf	id	order_in_vcf	sampling_location	region	latitude	longitude	collection_season	species	order_in_admixture	correct_label	correct_label_2	bars_plot	color	order_in_admixture_bars
i_Ste_1	12S4Rsv38_Canada_Atlantic_Spring	124	NA	Northwest_Atlantic_Ocean	48	-65.85	Spring	C.harengus	73	Canada_Spring	Canada_Spring_Summer	Canada_Spring_Summer	#DF9A65	75
i_Ste_2	12S4Rsv41_Canada_Atlantic_Spring	125	NA	Northwest_Atlantic_Ocean	48	-65.85	Spring	C.harengus	74	Canada_Spring	Canada_Spring_Summer	Canada_Spring_Summer	#DF9A65	76
i_7iA_1	12S4S7i22_Canada_Atlantic_Summer	92	NA	Northwest_Atlantic_Ocean	46.316667	-64.15	Summer	C.harengus	55	Canada_Summer	Canada_Spring_Summer	Canada_Spring_Summer	#DF9A65	57
i_7iA_2	12S4S7i28_Canada_Atlantic_Summer	93	NA	Northwest_Atlantic_Ocean	46.316667	-64.15	Summer	C.harengus	56	Canada_Summer	Canada_Spring_Summer	Canada_Spring_Summer	#DF9A65	58
i_Bla_1	144Sbs344_Canada_Atlantic_Autumn	96	NA	Northwest_Atlantic_Ocean	43.266667	-66.3	Autumn	C.harengus	33	Canada_Autumn	Canada_Autumn	Canada_Autumn	#D95F02	33
i_Bla_2	144Sbs349_Canada_Atlantic_Autumn	97	NA	Northwest_Atlantic_Ocean	43.266667	-66.3	Autumn	C.harengus	34	Canada_Autumn	Canada_Autumn	Canada_Autumn	#D95F02	34
i_Mir_1	14F4TL404_Canada_Atlantic_Autumn	106	NA	Northwest_Atlantic_Ocean	43.266667	-66.3	Autumn	C.harengus	41	Canada_Autumn	Canada_Autumn	Canada_Autumn	#D95F02	41
i_Mir_2	14F4TL415_Canada_Atlantic_Autumn	107	NA	Northwest_Atlantic_Ocean	43.266667	-66.3	Autumn	C.harengus	42	Canada_Autumn	Canada_Autumn	Canada_Autumn	#D95F02	42
i_Mus_1	14F4WK306_Canada_Atlantic_Autumn	108	NA	Northwest_Atlantic_Ocean	43.266667	-66.3	Autumn	C.harengus	43	Canada_Autumn	Canada_Autumn	Canada_Autumn	#D95F02	43
i_Mus_2	14F4WK316_Canada_Atlantic_Autumn	109	NA	Northwest_Atlantic_Ocean	43.266667	-66.3	Autumn	C.harengus	44	Canada_Autumn	Canada_Autumn	Canada_Autumn	#D95F02	44
i_FB_3	14S3Ps233_Canada_Atlantic_Spring	98	NA	Northwest_Atlantic_Ocean	48	-65.85	Spring	C.harengus	63	Canada_Spring	Canada_Spring_Summer	Canada_Spring_Summer	#DF9A65	65
i_FB_4	14S3Ps265_Canada_Atlantic_Spring	99	NA	Northwest_Atlantic_Ocean	48	-65.85	Spring	C.harengus	64	Canada_Spring	Canada_Spring_Summer	Canada_Spring_Summer	#DF9A65	66
i_Lab_1	15F2J602_Canada_Atlantic_Autumn	100	NA	Northwest_Atlantic_Ocean	43.266667	-66.3	Autumn	C.harengus	35	Canada_Autumn	Canada_Autumn	Canada_Autumn	#D95F02	35
