"GO.ID","Term_full","Ontology","Annotated","Significant","Expected","PValue","Gene_IDs","Gene_symbols","Algorithm","PValue_FDR"
"GO:0072376",NA,"BP",11,2,0.06,0.00173573030912532,"ENSCHAG00000003517, ENSCHAG00000003862","F13A1, ENSCHAG00000003862","classic",1
"GO:0072378","blood coagulation, fibrin clot formation","BP",11,2,0.06,0.00173573030912532,"ENSCHAG00000003517, ENSCHAG00000003862","F13A1, ENSCHAG00000003862","classic",1
"GO:0044770",NA,"BP",46,3,0.26,0.00231797095401759,"ENSCHAG00000000936, ENSCHAG00000001076, ENSCHAG00000012653","zmp:0000000711, foxm1, si:dkey-225f5.4","classic",1
"GO:0018149","peptide cross-linking","BP",20,2,0.12,0.00579923498480671,"ENSCHAG00000003517, ENSCHAG00000003862","F13A1, ENSCHAG00000003862","classic",1
"GO:0006164","purine nucleotide biosynthetic process","BP",75,3,0.43,0.00915997084798005,"ENSCHAG00000008180, ENSCHAG00000012097, ENSCHAG00000021596","si:dkey-145c18.3, atp5mc1, pfas","classic",1
"GO:0000075",NA,"BP",31,2,0.18,0.0136275650684379,"ENSCHAG00000000936, ENSCHAG00000012653","zmp:0000000711, si:dkey-225f5.4","classic",1
"GO:0033993",NA,"BP",32,2,0.18,0.0144825926932041,"ENSCHAG00000013260, ENSCHAG00000025006","cd36, spata18","classic",1
"GO:1901988",NA,"BP",32,2,0.18,0.0144825926932041,"ENSCHAG00000000936, ENSCHAG00000012653","zmp:0000000711, si:dkey-225f5.4","classic",1
"GO:0009117","nucleotide metabolic process","BP",171,4,0.98,0.0168196049696484,"ENSCHAG00000002578, ENSCHAG00000008180, ENSCHAG00000012097, ENSCHAG00000021596","gmpr, si:dkey-145c18.3, atp5mc1, pfas","classic",1
"GO:0072522",NA,"BP",94,3,0.54,0.0168339438020872,"ENSCHAG00000008180, ENSCHAG00000012097, ENSCHAG00000021596","si:dkey-145c18.3, atp5mc1, pfas","classic",1
"GO:0010948",NA,"BP",37,2,0.21,0.019091747086628,"ENSCHAG00000000936, ENSCHAG00000012653","zmp:0000000711, si:dkey-225f5.4","classic",1
"GO:0009165","nucleotide biosynthetic process","BP",103,3,0.59,0.0214158668268137,"ENSCHAG00000008180, ENSCHAG00000012097, ENSCHAG00000021596","si:dkey-145c18.3, atp5mc1, pfas","classic",1
"GO:1901987",NA,"BP",40,2,0.23,0.0221145589586651,"ENSCHAG00000000936, ENSCHAG00000012653","zmp:0000000711, si:dkey-225f5.4","classic",1
