P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
Baltic_Autumn	Baltic_Spring	Balsfjord	0.0144127	5.36087	8.28202e-08	0.0104655	229290	51836	50363.1
BarentSea	Balsfjord	Baltic_Autumn	0.346435	38.792	0	0.223566	242265	100939	48996.1
Canada_Autumn	Baltic_Autumn	Balsfjord	0.00235871	1.19807	0.230891	0.00168069	230132	50248.1	50011.6
Canada_Spring	Baltic_Autumn	Balsfjord	0.00100237	0.456279	0.64819	0.000714744	230102	50224.4	50123.9
Canada_Summer	Baltic_Autumn	Balsfjord	0.0211072	8.27381	1.29779e-16	0.0157336	229367	54230.7	51988.7
Japan	Balsfjord	Baltic_Autumn	0.494695	62.8244	0	0.282192	249330	107205	36242.4
NorthSea	Baltic_Autumn	Balsfjord	0.0072541	2.74181	0.00611013	0.00517816	229010	50651.6	49922
Baltic_Autumn	Norway_Costal	Balsfjord	0.00551045	2.80827	0.00498091	0.00402872	228551	51552.8	50987.7
Norway_Pelagic	Baltic_Autumn	Balsfjord	0.00401262	1.63783	0.101458	0.00290316	228444	50666.8	50261.8
UK	Baltic_Autumn	Balsfjord	0.00853931	3.83576	0.000125178	0.0061486	229035	51313.3	50444.4
Vancouver	Balsfjord	Baltic_Autumn	0.40959	58.0096	0	0.260003	203656	109087	45691.2
WhiteSea	Balsfjord	Baltic_Autumn	0.256698	31.1697	0	0.180642	238587	97476.3	57654.5
BarentSea	Balsfjord	Baltic_Spring	0.343145	39.8195	0	0.223778	240809	100951	49369.2
Canada_Autumn	Baltic_Spring	Balsfjord	0.0167151	5.34223	9.18079e-08	0.0121497	228703	51989.9	50280.4
Canada_Spring	Baltic_Spring	Balsfjord	0.0154088	5.06701	4.04121e-07	0.0111872	228895	51842.6	50269.2
Canada_Summer	Baltic_Spring	Balsfjord	0.0343535	11.0356	0	0.0259845	228228	55793	52087
Japan	Balsfjord	Baltic_Spring	0.492171	65.4343	0	0.283466	247937	107282	36511
NorthSea	Baltic_Spring	Balsfjord	0.0213711	6.01927	1.75206e-09	0.0156111	227082	52595.3	50394.3
Norway_Costal	Baltic_Spring	Balsfjord	0.00865844	3.36619	0.000762146	0.00643259	227594	52422.2	51522.2
Norway_Pelagic	Baltic_Spring	Balsfjord	0.0181089	5.14397	2.68994e-07	0.0133225	227344	52266.5	50407.2
UK	Baltic_Spring	Balsfjord	0.022503	6.82098	9.04228e-12	0.0165503	227211	53194.7	50853.3
Vancouver	Balsfjord	Baltic_Spring	0.409944	60.7787	0	0.26257	202575	109472	45813.8
WhiteSea	Balsfjord	Baltic_Spring	0.254703	31.9839	0	0.181165	237187	97545.8	57942.4
BarentSea	Balsfjord	Canada_Autumn	0.350733	40.5122	0	0.223235	242751	101185	48637.5
BarentSea	Balsfjord	Canada_Spring	0.349829	40.152	0	0.22359	242607	101178	48734.2
BarentSea	Balsfjord	Canada_Summer	0.342166	35.7978	0	0.206918	244306	100952	49479.3
BarentSea	Japan	Balsfjord	0.00691847	1.2514	0.210788	0	127597	62760.3	61897.8
BarentSea	Balsfjord	NorthSea	0.349856	36.3461	0	0.21296	242324	100528	48418.5
BarentSea	Balsfjord	Norway_Costal	0.343768	38.9521	0	0.225719	241283	100780	49216.1
BarentSea	Balsfjord	Norway_Pelagic	0.347455	35.8359	0	0.211978	240708	100488	48664.3
BarentSea	Balsfjord	UK	0.34912	40.2673	0	0.22295	243052	100858	48658.7
Vancouver	BarentSea	Balsfjord	0.29006	38.6766	0	1.02011	107333	103290	56842
WhiteSea	BarentSea	Balsfjord	0.00173363	0.433753	0.664468	0	124263	73400	73146
Canada_Autumn	Canada_Spring	Balsfjord	0.00137922	1.24444	0.213337	0.000966391	231540	49376.1	49240.1
Canada_Summer	Canada_Autumn	Balsfjord	0.0190325	11.9865	0	0.0139862	230423	53418.7	51423.3
Japan	Balsfjord	Canada_Autumn	0.500817	66.6745	0	0.281836	249874	107508	35758
NorthSea	Canada_Autumn	Balsfjord	0.00496194	2.90596	0.00366128	0.00348868	230055	49847.7	49355.4
Canada_Autumn	Norway_Costal	Balsfjord	0.00790508	3.3871	0.000706357	0.00572594	229011	51237.4	50433.7
Norway_Pelagic	Canada_Autumn	Balsfjord	0.0016254	1.13831	0.254991	0.00115613	229964	49657.2	49496.1
UK	Canada_Autumn	Balsfjord	0.0062788	4.70772	2.50507e-06	0.00447402	229703	50638.6	50006.7
Vancouver	Balsfjord	Canada_Autumn	0.412725	61.4813	0	0.258813	204005	109197	45393.7
WhiteSea	Balsfjord	Canada_Autumn	0.260958	32.504	0	0.181068	239067	97716.1	57271
Canada_Summer	Canada_Spring	Balsfjord	0.0203468	15.5923	0	0.0149395	230699	53377.7	51248.9
Japan	Balsfjord	Canada_Spring	0.500144	66.6929	0	0.28252	249756	107531	35829.8
NorthSea	Canada_Spring	Balsfjord	0.00627923	3.06583	0.00217064	0.00444279	229439	50180	49553.7
Canada_Spring	Norway_Costal	Balsfjord	0.00656275	2.9982	0.00271583	0.00475721	229069	51185.7	50518.2
Norway_Pelagic	Canada_Spring	Balsfjord	0.00292532	1.7231	0.0848712	0.00208196	229755	49827.8	49537.2
UK	Canada_Spring	Balsfjord	0.00760596	4.40996	1.03392e-05	0.00543623	229372	50865.6	50097.7
Vancouver	Balsfjord	Canada_Spring	0.412772	60.574	0	0.259729	203944	109272	45419.5
WhiteSea	Balsfjord	Canada_Spring	0.259927	32.3441	0	0.181181	238913	97697.9	57387.1
Japan	Balsfjord	Canada_Summer	0.489682	58.2058	0	0.263352	251289	107136	36701.5
Canada_Summer	NorthSea	Balsfjord	0.0143135	6.12385	9.1339e-10	0.0106538	228555	53601.8	52089
Canada_Summer	Norway_Costal	Balsfjord	0.0261176	11.1323	0	0.0196999	228456	55123.9	52317.8
Canada_Summer	Norway_Pelagic	Balsfjord	0.0173862	8.65385	4.98733e-18	0.0129505	229008	53496.4	51668
Canada_Summer	UK	Balsfjord	0.012812	6.40835	1.47107e-10	0.00959472	228778	54032.8	52665.8
Vancouver	Balsfjord	Canada_Summer	0.404286	53.5738	0	0.241536	205620	108963	46223.3
WhiteSea	Balsfjord	Canada_Summer	0.253699	28.7147	0	0.166744	240720	97577.2	58085.7
Japan	Balsfjord	NorthSea	0.498121	59.8677	0	0.269344	249321	106743	35759.7
Japan	Balsfjord	Norway_Costal	0.492196	64.1332	0	0.285472	248335	107037	36425.4
Japan	Balsfjord	Norway_Pelagic	0.498175	59.5477	0	0.269201	247795	106817	35779.2
Japan	Balsfjord	UK	0.496588	64.6156	0	0.280849	250042	107051	36009.1
Vancouver	Japan	Balsfjord	0.332419	40.668	0	1.04115	115000	94758.1	47476.6
WhiteSea	Japan	Balsfjord	0.00784205	1.59069	0.11168	0	121814	71467.1	70354.9
NorthSea	Norway_Costal	Balsfjord	0.0126734	4.39699	1.09762e-05	0.00916962	227926	51592.6	50301.2
NorthSea	Norway_Pelagic	Balsfjord	0.00325605	1.50223	0.133039	0.00232544	228189	50081.4	49756.3
UK	NorthSea	Balsfjord	0.00137197	0.947043	0.343617	0.000962919	231120	49612.2	49476.3
Vancouver	Balsfjord	NorthSea	0.410722	55.5305	0	0.246867	203582	108464	45307.1
WhiteSea	Balsfjord	NorthSea	0.260607	29.704	0	0.1724	238697	97134.8	56973.3
Norway_Pelagic	Norway_Costal	Balsfjord	0.00947075	3.40028	0.000673177	0.00694487	227750	51481.7	50515.7
UK	Norway_Costal	Balsfjord	0.0139124	5.40046	6.64684e-08	0.0101484	228068	52227.7	50794.4
Vancouver	Balsfjord	Norway_Costal	0.408444	59.5134	0	0.26358	202893	109056	45804.4
WhiteSea	Balsfjord	Norway_Costal	0.25562	31.3067	0	0.183147	237689	97403.3	57744.5
UK	Norway_Pelagic	Balsfjord	0.00449497	2.42705	0.0152223	0.00324683	228021	50830.8	50375.9
Vancouver	Balsfjord	Norway_Pelagic	0.411482	54.6042	0	0.246848	202455	108545	45257.8
WhiteSea	Balsfjord	Norway_Pelagic	0.258653	29.4944	0	0.1712	237091	97082.4	57181.5
Vancouver	Balsfjord	UK	0.409493	59.898	0	0.257977	204226	108785	45575.6
WhiteSea	Balsfjord	UK	0.25988	32.3775	0	0.180926	239432	97450.5	57247.5
Balsfjord	WhiteSea	Vancouver	0.232828	30.0766	0	0.35582	110249	102837	63994.1
Baltic_Autumn	Baltic_Spring	BarentSea	0.0197803	5.12179	3.02644e-07	0.00696241	276406	47395.8	45557.2
Canada_Autumn	Baltic_Autumn	Baltic_Spring	0.0058127	3.88121	0.000103938	0.327327	65607.8	64653.7	63906.5
Canada_Spring	Baltic_Autumn	Baltic_Spring	0.00315609	1.78893	0.0736269	0.21054	65496.7	64547.5	64141.4
Baltic_Spring	Baltic_Autumn	Canada_Summer	0.00935672	3.90186	9.54566e-05	0.059087	70343.6	66928.4	65687.5
Baltic_Autumn	Baltic_Spring	Japan	0.0186509	4.07148	4.67144e-05	0.00552449	293817	45622.7	43952
Baltic_Spring	Baltic_Autumn	NorthSea	0.0186255	7.35407	1.92263e-13	0.146642	65935.7	65617.4	63217.8
Baltic_Spring	Baltic_Autumn	Norway_Costal	0.00716222	3.53952	0.000400854	1.08439	66478.7	65378.4	64448.5
Norway_Pelagic	Baltic_Autumn	Baltic_Spring	0.00950782	4.73208	2.22227e-06	0.451449	65305.3	65284.9	64055.2
Baltic_Spring	Baltic_Autumn	UK	0.0172993	7.95586	1.77885e-15	0.394302	67015.2	65805	63566.9
Baltic_Autumn	Baltic_Spring	Vancouver	0.0136417	3.83536	0.000125383	0.00452739	286002	44999.7	43788.4
Baltic_Autumn	Baltic_Spring	WhiteSea	0.0177129	5.72834	1.01417e-08	0.00722905	265820	48700	47004.8
Canada_Autumn	Baltic_Autumn	BarentSea	0.00919683	2.85054	0.00436449	0.00315638	277706	45899.8	45063.3
Canada_Spring	Baltic_Autumn	BarentSea	0.00652715	1.86674	0.0619381	0.00224535	277627	45825.7	45231.4
Canada_Summer	Baltic_Autumn	BarentSea	0.0197753	5.31881	1.04447e-07	0.00718224	276094	49176.4	47269.2
Japan	BarentSea	Baltic_Autumn	0.227944	22.2693	0	0.0756176	310134	51227	32208.4
NorthSea	Baltic_Autumn	BarentSea	0.0107265	2.74169	0.00611246	0.00369751	276297	46102.8	45124.3
Baltic_Autumn	Norway_Costal	BarentSea	0.00916266	3.33263	0.000860301	0.00323464	275569	47031.6	46177.5
Norway_Pelagic	Baltic_Autumn	BarentSea	0.00652503	1.63195	0.102691	0.00228024	275478	46096	45498.3
UK	Baltic_Autumn	BarentSea	0.0121323	3.55021	0.000384922	0.00422803	276387	46744	45623.4
Vancouver	BarentSea	Baltic_Autumn	0.114015	12.5314	0	0.0468992	252856	55840.1	44410.1
BarentSea	WhiteSea	Baltic_Autumn	0.112659	14.0733	0	0.0522585	292074	60023.6	47868.5
Canada_Spring	Canada_Autumn	Baltic_Autumn	3.87467e-05	0.0450359	0.964079	0.00709829	65294.2	63117.4	63112.5
Baltic_Autumn	Canada_Autumn	Canada_Summer	0.0123198	6.70259	2.04761e-11	0.0824829	69193.4	66437.8	64820.7
Canada_Autumn	Baltic_Autumn	Japan	0.0116266	3.07996	0.00207028	0.00335841	295159	44337	43317.8
NorthSea	Canada_Autumn	Baltic_Autumn	0.00995024	4.71895	2.37065e-06	0.630098	64675.8	64331.5	63063.9
Baltic_Autumn	Canada_Autumn	Norway_Costal	0.00600112	3.93847	8.20015e-05	0	65789.3	64509.5	63739.9
Norway_Pelagic	Canada_Autumn	Baltic_Autumn	0.0072266	5.76505	8.16331e-09	0.56737	65259.2	63895.7	62978.8
Baltic_Autumn	Canada_Autumn	UK	0.00858617	5.42358	5.84178e-08	0.321787	65636.3	64571.6	63472.2
Canada_Autumn	Baltic_Autumn	Vancouver	0.00731681	2.47146	0.0134562	0.00238284	287157	43986.3	43347.3
Canada_Autumn	Baltic_Autumn	WhiteSea	0.00914887	3.40434	0.000663245	0.00364234	267050	47280.9	46423.6
Baltic_Autumn	Canada_Spring	Canada_Summer	0.0157446	7.66089	1.84647e-14	0.105181	69039.3	66745.4	64676.2
Canada_Spring	Baltic_Autumn	Japan	0.00944407	2.4163	0.0156793	0.00273114	295095	44275.3	43446.8
Baltic_Autumn	Canada_Spring	NorthSea	0.00624754	3.06231	0.00219637	0.0569359	64665.1	64197.5	63400.3
Baltic_Autumn	Canada_Spring	Norway_Costal	0.00686249	4.11206	3.92149e-05	0	65772.5	64608.1	63727.4
Norway_Pelagic	Canada_Spring	Baltic_Autumn	0.00714918	5.57524	2.47196e-08	0.559717	65108.1	63984.2	63075.8
Baltic_Autumn	Canada_Spring	UK	0.00529381	2.99823	0.00271555	0.198383	65831.9	64350.3	63672.6
Canada_Spring	Baltic_Autumn	Vancouver	0.00630596	2.10609	0.0351961	0.00205493	287114	43948.6	43397.8
Canada_Spring	Baltic_Autumn	WhiteSea	0.00623535	2.15126	0.031456	0.00248807	266956	47191.1	46606.2
Canada_Summer	Baltic_Autumn	Japan	0.0202623	4.8613	1.1662e-06	0.00619952	293307	47407	45524
NorthSea	Baltic_Autumn	Canada_Summer	0.00502946	1.62195	0.104813	0.0324238	69295.6	66185.7	65523.3
Norway_Costal	Baltic_Autumn	Canada_Summer	0.00733598	4.26058	2.03899e-05	0.0469358	69503.3	67171.9	66193.5
Baltic_Autumn	Norway_Pelagic	Canada_Summer	0.0085155	3.69553	0.000219429	0.0566777	68889.7	66572	65447.8
UK	Baltic_Autumn	Canada_Summer	0.00956893	3.13127	0.00174051	0.0594099	69444	67228.8	65954.3
Canada_Summer	Baltic_Autumn	Vancouver	0.0190665	5.82701	5.64298e-09	0.00656616	285386	47147.2	45382.9
Canada_Summer	Baltic_Autumn	WhiteSea	0.0202597	6.52114	6.97744e-11	0.00852524	265593	50678.9	48666.2
NorthSea	Baltic_Autumn	Japan	0.00975483	2.20447	0.0274912	0.00283338	293571	44386.2	43528.6
Baltic_Autumn	Norway_Costal	Japan	0.00888483	2.79511	0.00518824	0.00264495	292885	45304.4	44506.4
Norway_Pelagic	Baltic_Autumn	Japan	0.0103121	2.35424	0.0185607	0.00302904	292875	44592.6	43682.3
UK	Baltic_Autumn	Japan	0.0105498	2.83187	0.00462774	0.00309423	293630	44968.1	44029.2
Japan	Vancouver	Baltic_Autumn	0.0950015	16.8471	0	0.0302227	269225	43770.8	36175.7
Japan	WhiteSea	Baltic_Autumn	0.312633	35.0961	0	0.123984	297809	65490.5	34294.4
NorthSea	Baltic_Autumn	Norway_Costal	0.00326127	1.31604	0.188162	1.74352	65452.4	64676.1	64255.6
NorthSea	Norway_Pelagic	Baltic_Autumn	0.0025154	0.961932	0.336084	0.168035	64435.5	64264.3	63941.8
UK	NorthSea	Baltic_Autumn	0.00701395	4.92899	8.26556e-07	0.309397	66268.5	63847.5	62958.1
NorthSea	Baltic_Autumn	Vancouver	0.00688404	1.93053	0.0535414	0.00225353	285625	44090.1	43487.2
NorthSea	Baltic_Autumn	WhiteSea	0.0119932	3.627	0.000286737	0.00479202	265731	47548.2	46421.2
Baltic_Autumn	Norway_Pelagic	Norway_Costal	0.00317027	1.54448	0.122472	0	65433.6	64737.5	64328.4
Norway_Costal	Baltic_Autumn	UK	0.00811214	4.91136	9.04448e-07	0.23554	65755.5	65643.9	64587.5
Baltic_Autumn	Norway_Costal	Vancouver	0.00681568	2.98193	0.00286437	0.00227784	285044	44904.6	44296.7
Baltic_Autumn	Norway_Costal	WhiteSea	0.00680379	2.61542	0.0089117	0.00278973	265035	48316.5	47663.4
Baltic_Autumn	Norway_Pelagic	UK	0.00154119	0.750664	0.452855	0.0583798	65468.8	64466	64267.6
Norway_Pelagic	Baltic_Autumn	Vancouver	0.0079604	2.20082	0.0277491	0.00263471	284972	44309.2	43609.3
Norway_Pelagic	Baltic_Autumn	WhiteSea	0.00764472	2.31749	0.0204771	0.00309599	264958	47533.8	46812.6
UK	Baltic_Autumn	Vancouver	0.00768216	2.59192	0.00954415	0.00253936	285677	44667.4	43986.4
UK	Baltic_Autumn	WhiteSea	0.0131348	4.52918	5.92132e-06	0.00530012	265791	48187.8	46938.3
Vancouver	WhiteSea	Baltic_Autumn	0.204871	26.7489	0	0.0968757	242747	69506.8	45869.6
Canada_Autumn	Baltic_Spring	BarentSea	0.0287801	6.00959	1.85997e-09	0.0100958	276088	47813.4	45138.2
Canada_Spring	Baltic_Spring	BarentSea	0.0262173	5.42618	5.75717e-08	0.00918691	276229	47613.6	45180.8
Canada_Summer	Baltic_Spring	BarentSea	0.0381049	7.74277	9.72746e-15	0.0140737	274765	50911.3	47173.8
Japan	BarentSea	Baltic_Spring	0.228887	23.1904	0	0.0768518	308582	51496.5	32313.5
NorthSea	Baltic_Spring	BarentSea	0.030032	5.53063	3.1909e-08	0.0106213	274183	48218.4	45406.7
Norway_Costal	Baltic_Spring	BarentSea	0.0103046	2.5458	0.0109027	0.00371134	274434	47793.6	46818.7
