chr	windowStart	windowEnd	D	f_d	f_dM	d_f
chr1	152945	186630	-0.047248	-0.009691	-0.009025	-0.030814
chr1	171988	203489	-0.048481	-0.015505	-0.013306	-0.041387
chr1	187087	223360	-0.057363	-0.019306	-0.016336	-0.035127
chr1	204079	229360	-0.045734	-0.015482	-0.013833	-0.022937
chr1	224442	236465	-0.003896	-0.001937	-0.001656	-0.002751
chr1	229374	239545	-0.055146	-0.035673	-0.029598	-0.014674
chr1	236777	244998	-0.052017	-0.023553	-0.021411	-0.013587
chr1	239760	251980	-0.030965	-0.009502	-0.009022	-0.007364
chr1	245262	260311	0.006852	0.002576	0.002343	0.001990
chr1	252037	267106	0.012100	0.005399	0.004327	0.002607
chr1	261448	272216	-0.020217	-0.013705	-0.010775	-0.005715
chr1	267189	276675	0.011603	0.009842	0.008477	0.003273
chr1	272249	282322	-0.020185	-0.016405	-0.013826	-0.011439
chr1	276822	288204	-0.109223	-0.086109	-0.066651	-0.037168
chr1	282344	294533	-0.078085	-0.043111	-0.035793	-0.017912
chr1	288412	296393	-0.057199	-0.045676	-0.037074	-0.017297
chr1	294801	298081	-0.026355	-0.049091	-0.034606	-0.006335
chr1	296404	301654	-0.074574	-0.172692	-0.101711	-0.022592
chr1	298085	302169	-0.018064	-0.021320	-0.015518	0.023353
chr1	301655	303941	0.076008	0.081321	0.068958	0.043046
chr1	302458	316423	0.011980	0.009294	0.007938	0.004288
chr1	304041	317714	0.017109	0.015430	0.012672	0.013221
chr1	316435	319406	0.022644	0.027385	0.021000	0.012315
chr1	317777	321090	0.107895	0.116761	0.095919	0.029835
chr1	319501	326572	0.216072	0.243813	0.208167	0.061533
chr1	321341	329034	0.119628	0.158427	0.130922	0.038766
chr1	326593	330786	-0.094686	-0.147777	-0.103005	-0.027800
chr1	329321	335025	0.019722	0.026242	0.019312	0.027034
chr1	330787	336507	0.030612	0.034595	0.028867	0.030651
chr1	335029	341378	0.009045	0.006621	0.005801	0.003051
chr1	336508	346236	0.202409	0.064866	0.059896	0.039536
chr1	341570	354996	0.039647	0.014809	0.013556	0.014605
chr1	346237	364202	-0.009635	-0.004693	-0.004109	-0.003519
chr1	357460	370712	0.105348	0.050576	0.043466	0.034764
chr1	364324	375166	0.107633	0.053906	0.043919	0.027225
chr1	370810	388434	-0.052130	-0.022816	-0.018566	-0.008387
chr1	375189	394067	-0.168424	-0.069380	-0.057361	-0.027863
chr1	388615	405495	-0.108021	-0.035448	-0.031225	-0.022266
chr1	394690	413571	0.029265	0.009668	0.008906	0.009211
chr1	405700	417213	0.021170	0.009890	0.008606	0.005636
chr1	413580	424864	0.021848	0.008795	0.007323	0.003371
chr1	417221	432961	0.016507	0.008190	0.006785	0.003519
chr1	424952	445670	-0.041213	-0.023519	-0.019824	-0.014509
chr1	433338	452292	-0.042296	-0.027700	-0.022073	-0.014300
chr1	446145	461323	0.071930	0.047093	0.037461	0.017225
chr1	452953	485913	0.083823	0.032301	0.029718	0.026762
chr1	463975	502004	0.045355	0.015196	0.014201	0.025409
chr1	486792	522234	0.040129	0.015683	0.014222	0.025572
chr1	504858	552394	0.069514	0.026828	0.024316	0.048752
chr1	522973	614887	0.102106	0.033518	0.030802	0.064612
chr1	552517	641971	0.041061	0.016162	0.014652	0.030676
chr1	619579	677336	-0.039718	-0.013793	-0.012201	-0.024733
chr1	642029	726265	-0.040542	-0.012175	-0.010460	-0.022271
chr1	679697	740929	0.011471	0.004024	0.003542	0.009096
chr1	726526	747556	0.100324	0.042576	0.039354	0.057849
chr1	741174	755497	0.069746	0.032378	0.029207	0.037335
chr1	747748	766904	-0.089858	-0.034296	-0.030357	-0.042066
chr1	756206	784229	-0.075089	-0.037071	-0.032118	-0.044247
chr1	767083	798338	-0.022370	-0.009493	-0.008427	-0.017512
chr1	784234	807291	0.005451	0.001892	0.001658	0.002855
chr1	798576	819660	-0.092493	-0.044776	-0.037172	-0.046989
chr1	807375	829513	-0.010325	-0.005790	-0.005093	-0.005257
chr1	819770	842981	0.016114	0.009376	0.007685	0.008708
chr1	829748	879176	-0.063510	-0.016634	-0.014101	-0.024198
chr1	843010	895449	0.036200	0.005816	0.005337	0.008812
chr1	879209	905616	0.050554	0.022544	0.019605	0.017747
chr1	897081	921103	0.050173	0.020412	0.018271	0.020819
chr1	907421	938820	0.008936	0.002179	0.001939	0.004705
chr1	921394	946426	0.086410	0.026191	0.023131	0.036186
chr1	938963	955031	0.070840	0.029847	0.026784	0.026999
chr1	946940	961599	0.029851	0.013225	0.011540	0.010923
chr1	955032	972721	0.073384	0.028008	0.024031	0.026069
chr1	961781	989743	0.011145	0.004211	0.003586	0.007460
chr1	977793	1006157	0.028156	0.012719	0.011215	0.017660
chr1	991103	1013400	-0.058566	-0.036923	-0.031126	-0.039628
chr1	1006170	1038947	-0.174317	-0.079171	-0.064196	-0.093144
chr1	1013432	1100492	-0.078938	-0.021498	-0.018154	-0.040068
chr1	1039991	1111125	-0.076258	-0.029928	-0.025351	-0.044197
chr1	1100696	1121410	-0.062363	-0.037286	-0.033340	-0.028659
chr1	1111212	1189049	0.021787	0.011073	0.009965	0.008219
chr1	1121542	1213247	-0.072732	-0.043644	-0.031608	-0.029266
